,Month,Count,Year
0,1,38114,2001
1,2,33783,2001
2,3,40562,2001
3,4,40088,2001
4,5,41835,2001
5,6,41735,2001
6,7,44701,2001
7,8,44039,2001
8,9,41513,2001
9,10,43033,2001
10,11,39604,2001
11,12,36846,2001
0,1,38416,2002
1,2,33908,2002
2,3,38588,2002
3,4,40036,2002
4,5,42913,2002
5,6,42839,2002
6,7,46013,2002
7,8,44216,2002
8,9,42391,2002
9,10,43146,2002
10,11,37154,2002
11,12,37174,2002
0,1,36720,2003
1,2,32510,2003
2,3,38652,2003
3,4,39789,2003
4,5,41196,2003
5,6,40819,2003
6,7,43418,2003
7,8,44270,2003
8,9,41426,2003
9,10,43330,2003
10,11,38056,2003
11,12,35791,2003
0,1,35111,2004
1,2,34070,2004
2,3,39857,2004
3,4,38269,2004
4,5,40781,2004
5,6,41135,2004
6,7,43239,2004
7,8,43047,2004
8,9,41214,2004
9,10,41528,2004
10,11,36843,2004
11,12,34323,2004
0,1,33872,2005
1,2,31988,2005
2,3,36907,2005
3,4,38871,2005
4,5,40471,2005
5,6,40057,2005
6,7,41810,2005
7,8,41544,2005
8,9,39627,2005
9,10,39961,2005
10,11,35983,2005
11,12,32670,2005
0,1,36766,2006
1,2,31301,2006
2,3,36983,2006
3,4,36478,2006
4,5,39617,2006
5,6,38819,2006
6,7,41554,2006
7,8,40499,2006
8,9,37776,2006
9,10,38661,2006
10,11,35571,2006
11,12,34143,2006
0,1,34117,2007
1,2,27138,2007
2,3,36354,2007
3,4,35641,2007
4,5,40091,2007
5,6,38996,2007
6,7,40992,2007
7,8,39850,2007
8,9,38266,2007
9,10,39596,2007
10,11,34426,2007
11,12,31609,2007
0,1,33387,2008
1,2,29052,2008
2,3,33983,2008
3,4,35598,2008
4,5,38066,2008
5,6,37703,2008
6,7,40494,2008
7,8,40542,2008
8,9,37453,2008
9,10,37892,2008
10,11,33565,2008
11,12,29419,2008
0,1,30265,2009
1,2,28240,2009
2,3,33688,2009
3,4,32575,2009
4,5,35249,2009
5,6,34280,2009
6,7,35679,2009
7,8,35831,2009
8,9,33873,2009
9,10,33545,2009
10,11,31400,2009
11,12,28191,2009
0,1,29252,2010
1,2,24953,2010
2,3,32343,2010
3,4,31675,2010
4,5,33413,2010
5,6,32728,2010
6,7,33515,2010
7,8,34161,2010
8,9,31899,2010
9,10,32399,2010
10,11,28896,2010
11,12,25247,2010
0,1,27220,2011
1,2,22240,2011
2,3,28701,2011
3,4,29109,2011
4,5,31596,2011
5,6,32322,2011
6,7,33260,2011
7,8,32598,2011
8,9,29944,2011
9,10,30280,2011
10,11,27651,2011
11,12,27027,2011
0,1,26318,2012
1,2,23885,2012
2,3,28573,2012
3,4,27189,2012
4,5,30111,2012
5,6,31095,2012
6,7,31986,2012
7,8,30053,2012
8,9,27772,2012
9,10,27984,2012
10,11,26043,2012
11,12,25237,2012
0,1,25533,2013
1,2,21415,2013
2,3,24982,2013
3,4,25536,2013
4,5,28008,2013
5,6,27390,2013
6,7,28637,2013
7,8,28669,2013
8,9,26353,2013
9,10,25481,2013
10,11,23571,2013
11,12,21866,2013
0,1,20070,2014
1,2,18040,2014
2,3,22194,2014
3,4,22932,2014
4,5,24871,2014
5,6,25456,2014
6,7,26575,2014
7,8,25898,2014
8,9,23907,2014
9,10,24006,2014
10,11,20778,2014
11,12,20984,2014
0,1,20959,2015
1,2,16403,2015
2,3,21684,2015
3,4,21730,2015
4,5,23708,2015
5,6,23192,2015
6,7,24234,2015
7,8,24822,2015
8,9,23129,2015
9,10,23102,2015
10,11,20593,2015
11,12,21147,2015
0,1,20765,2016
1,2,18748,2016
2,3,22055,2016
3,4,21176,2016
4,5,23550,2016
5,6,24078,2016
6,7,24858,2016
7,8,24927,2016
8,9,23696,2016
9,10,23761,2016
10,11,21747,2016
11,12,20394,2016
0,1,22150,2017
1,2,19316,2017
2,3,20574,2017
3,4,21699,2017
4,5,23387,2017
5,6,23869,2017
6,7,24874,2017
7,8,24739,2017
8,9,22850,2017
9,10,22924,2017
10,11,21505,2017
11,12,21107,2017
0,1,20541,2018
1,2,17357,2018
2,3,21244,2018
3,4,21147,2018
4,5,24747,2018
5,6,24251,2018
6,7,25275,2018
7,8,25471,2018
8,9,23112,2018
9,10,22845,2018
10,11,20692,2018
11,12,21997,2018
0,1,19721,2019
1,2,18427,2019
2,3,20444,2019
3,4,21028,2019
4,5,23666,2019
5,6,23625,2019
6,7,24870,2019
7,8,24426,2019
8,9,22458,2019
9,10,21703,2019
10,11,19964,2019
11,12,20802,2019
0,1,19889,2020
1,2,18179,2020
2,3,16736,2020
3,4,12911,2020
4,5,17593,2020
5,6,17640,2020
6,7,19619,2020
7,8,19894,2020
8,9,17922,2020
9,10,18431,2020
10,11,16624,2020
11,12,16484,2020
0,1,16116,2021
1,2,13060,2021
2,3,16065,2021
3,4,15521,2021
4,5,17748,2021
5,6,18748,2021
6,7,19156,2021
7,8,18447,2021
8,9,19160,2021
9,10,19294,2021
10,11,17351,2021
11,12,17248,2021
0,1,15437,2022
1,2,15112,2022
2,3,18187,2022
3,4,17782,2022
4,5,19931,2022
5,6,20471,2022
6,7,21950,2022
7,8,21876,2022
8,9,21651,2022
9,10,10932,2022
